model,eos,time_day,pressure_avg_bar,s_o_avg,s_g_avg,s_w_avg,rho_w_avg_kg_m3,producer_rate_magnitude_m3_s,injector_bhp_bar,cumulative_nonlinear_solve_wall_s
full,PR,0,60,0.5937905132302927,0.3329129535456463,0.07329653322407587,845.4143888379317,1.86093217692977,,0.0
full,PR,0.25,59.99589592871667,0.5936995887955527,0.3330041405821871,0.07329627062226039,845.414334639026,1.633671347814967,63.4396455848352,2.185383251000076
full,PR,0.5,59.99218262944412,0.5936226540622193,0.3330813094149799,0.07329603652280084,845.4142877382789,1.500434191717763,63.53139098078753,3.964984549000292
full,PR,0.75,59.98867213645675,0.5935522044054347,0.3331519789691628,0.07329581662540194,845.4142447544726,1.421701664312711,63.55657572209119,6.221870235000097
full,PR,1,59.98529554861805,0.5934857847950885,0.3332186094047878,0.0732956058001238,845.4142043173603,1.36745903906698,63.55528860689732,8.541446922000432
full,PR,1.25,59.98202152311625,0.5934223279282851,0.3332822703344953,0.07329540173721977,845.4141657698701,1.325899056291184,63.54204048453513,10.905227675000333
full,PR,1.5,59.97883204216895,0.5933612582333875,0.3333435386067246,0.07329520315988788,845.4141287342798,1.292019097346472,63.52290237037646,13.704075423000177
full,PR,1.75,59.97571503294104,0.593302212616968,0.3334027781352891,0.07329500924774275,845.4140929632209,1.263339295476501,63.50076448734307,16.07721848500023
full,PR,2,59.9726616719457,0.5932449359313525,0.3334602446508953,0.07329481941775214,845.4140582803567,1.238447972651422,63.47715119876008,18.126136430000315
full,PR,2.25,59.96966515620068,0.5931892353027614,0.3335161314702887,0.07329463322695053,845.4140245527381,1.216455707713509,63.45292985026919,20.197591309000472
full,PR,2.5,59.96672005611956,0.5931349575078056,0.3335705921689354,0.07329445032325849,845.413991676203,1.196760224711833,63.42862146252384,22.497872332000497
full,PR,2.75,59.96382191615,0.5930819765883528,0.3336237529936817,0.07329427041796595,845.4139595668817,1.178931497496001,63.40455100359203,24.734919046000414
full,PR,3,59.96096702396719,0.5930301864719262,0.333675720259109,0.07329409326896462,845.4139281558444,1.162650225641625,63.38092596395677,26.631764125000245
full,PR,3.25,59.95815223658975,0.5929794962509431,0.3337265850792374,0.07329391866981901,845.4138973855602,1.147672083020683,63.35788015317355,28.447736827000426
full,PR,3.5,59.95537486086695,0.5929298269740424,0.3337764265837264,0.0732937464422312,845.4138672073879,1.133805685350975,63.33549908347744,31.035487627000293
full,PR,3.75,59.95263256959686,0.5928811093547992,0.3338253142145988,0.07329357643060207,845.4138375798159,1.120898315360742,63.31383577396456,34.16013221600042
full,PR,4,59.94992333498831,0.5928332820650293,0.3338733094370074,0.07329340849796397,845.4138084670706,1.108826271572364,63.29292083344264,36.962839803000406
full,PR,4.25,59.94724537812342,0.59278629042176,0.3339204670553924,0.07329324252284745,845.4137798381305,1.097488104443637,63.27276909984167,39.319576414000494
full,PR,4.5,59.94459712918142,0.5927400853521173,0.3339668362510625,0.07329307839682009,845.4137516658868,1.086799731706839,63.2533841467238,41.362941250000404
full,PR,4.75,59.94197719519988,0.5926946225611592,0.3340124614163265,0.07329291602251367,845.4137239265281,1.076690821960922,63.23476142414479,43.522839494000436
full,PR,5,59.93938433436966,0.592649861853054,0.3340573828349188,0.07329275531202697,845.41369659902,1.067102061599081,63.21689049679039,45.61970837200033
full,SW,0,60,0.5947758305569658,0.3313154608923641,0.07390870855066421,846.7839508116607,1.841890193616252,,0.0
full,SW,0.25,59.99590787310928,0.5946848184422335,0.3314067141640545,0.07390846739371108,846.7841464534118,1.619323380531274,63.45721989343516,2.922117111000262
full,SW,0.5,59.99220524842735,0.5946078003247547,0.3314839431816111,0.07390825649363496,846.7843507656439,1.487797248277188,63.54842749622001,5.7299223510003685
full,SW,0.75,59.98870486399158,0.5945372684002148,0.3315546708451681,0.07390806075461706,846.7845598677875,1.409893091677255,63.57321951680435,8.39803593500028
full,SW,1,59.98533799893005,0.5944707650657362,0.3316213602810918,0.07390787465317236,846.7847717085798,1.356188370611667,63.57157155629373,10.954406535000544
full,SW,1.25,59.98207338243197,0.5944072222279128,0.3316850820866029,0.07390769568548441,846.7849852546479,1.315039935872439,63.55797265061974,12.985234607000166
full,SW,1.5,59.97889304082,0.59434606431905,0.3317464132156617,0.07390752246528888,846.7851999169668,1.28150061432551,63.5384896145146,15.353154582000116
full,SW,1.75,59.97578493226081,0.594286928521859,0.331805717374721,0.07390735410341924,846.7854153251074,1.25311424109775,63.51601206336321,17.391714346999834
full,SW,2,59.97274025703655,0.5942295600254121,0.3318632500040521,0.07390718997053587,846.7856312318936,1.228481510463291,63.49206450380353,19.199923177000073
full,SW,2.25,59.96975223081738,0.5941737662750549,0.3319192041337571,0.0739070295911881,846.7858474672611,1.206720498154763,63.46751453463758,21.533947161000015
full,SW,2.5,59.96681543912872,0.5941193943233452,0.3319737330866616,0.07390687258999351,846.7860639130454,1.187233982536293,63.44288339012472,23.5820077999997
full,SW,2.75,59.96392543866882,0.5940663184402456,0.3320269628983619,0.07390671866139309,846.7862804878979,1.169595614977173,63.41849617603506,25.66255326999999
full,SW,3,59.96107852700067,0.5940144327369775,0.3320789997118651,0.07390656755115674,846.7864971375848,1.153488905692149,63.39456045827878,27.675437714000054
full,SW,3.25,59.95827156943827,0.5939636464517487,0.3321299345039508,0.07390641904429995,846.7867138284113,1.138671749853319,63.37121007146521,30.13765871400028
full,SW,3.5,59.9555018792387,0.5939138807484777,0.3321798462947766,0.07390627295674655,846.7869305426127,1.124954558373942,63.34853053184959,32.212613818000136
full,SW,3.75,59.95276713458838,0.5938650664314168,0.3322288044392763,0.07390612912930712,846.787147274972,1.112186087187678,63.32657483546888,34.472367008999754
full,SW,4,59.95006531204465,0.5938171422439863,0.3322768703328379,0.07390598742317592,846.7873640302961,1.100243857293842,63.30537354924589,36.46345371799953
full,SW,4.25,59.9473946362213,0.5937700535602167,0.332324098723315,0.07390584771646844,846.7875808214759,1.089027442419169,63.28494145681387,39.06892262199972
full,SW,4.5,59.94475354015294,0.5937237513532001,0.3323705387453001,0.07390570990149983,846.7877976679846,1.078453623105896,63.26528206895042,41.50131935999934
full,SW,4.75,59.94214063325731,0.5936781913657576,0.3324162347516315,0.07390557388261107,846.7880145946918,1.068452800255915,63.24639076684765,43.47278194699902
full,SW,5,59.93955467566001,0.5936333334337512,0.3324612269918417,0.0739054395744065,846.7882316309123,1.058966285644799,63.2282570418375,45.308893203999105
full,CPA,0,60,0.7186755052802793,0.2109131987421143,0.07041129597760604,1002.073033481808,0.7335444577522385,,0.0
full,CPA,0.25,59.9971766260885,0.7185534952747156,0.2110352347613402,0.07041126996394445,1002.073121669646,0.8206239723759285,64.23846103842868,2.252749066999968
full,CPA,0.5,59.99460920300305,0.7184506290436946,0.2111381198277721,0.07041125112853255,1002.07322077154,0.8055772300389836,64.31861718564213,4.867645436000203
full,CPA,0.75,59.99219437862391,0.7183564558353064,0.2112323076541839,0.07041123651050904,1002.073327622276,0.7805491767451481,64.33063468927496,7.097210423999968
full,CPA,1,59.98988407951649,0.718267373194531,0.2113214020969555,0.0704112247085132,1002.073440100701,0.7585916498457769,64.3117400526635,9.368125551000048
full,CPA,1.25,59.9876540257037,0.7181818484568943,0.2114069365388946,0.07041121500421153,1002.073556929158,0.7406861084080307,64.27747043151187,12.008226706000187
full,CPA,1.5,59.98548951901498,0.7180991101053368,0.2114896829208166,0.07041120697384684,1002.073677260738,0.7261193366347779,64.23515426180235,14.556242901000132
full,CPA,1.75,59.98338037825305,0.7180187098732671,0.2115700897913864,0.07041120033534651,1002.07380048276,0.7141090138203564,64.18866688468137,17.00847973100008
full,CPA,2,59.98131900327948,0.7179403545006517,0.2116484506149403,0.07041119488440821,1002.073926126506,0.7040339723827852,64.14025559467579,19.162680184999772
full,CPA,2.25,59.97929948662311,0.717863833227336,0.2117249763080037,0.07041119046465959,1002.074053821249,0.6954306527637113,64.0913097539834,21.262088394999864
full,CPA,2.5,59.97731712527022,0.7177889833547026,0.2117998296932819,0.07041118695201612,1002.074183267753,0.6879573144766664,64.04272140717887,23.660142280999935
full,CPA,2.75,59.97536811128569,0.717715672533043,0.211873143221351,0.07041118424560626,1002.074314221394,0.681361597007313,63.99507252334151,25.888398078000137
full,CPA,3,59.97344931784419,0.7176437890310019,0.2119450287069386,0.07041118226206031,1002.074446480535,0.6754559772441264,63.94874153675273,28.31169163300001
full,CPA,3.25,59.97155814890723,0.717573236064154,0.2120155830041681,0.07041118093167838,1002.074579878147,0.6701000179129175,63.90396860440507,31.01064160299984
full,CPA,3.5,59.9696924241341,0.7175039283004834,0.212084891503789,0.0704111801957277,1002.074714275501,0.6651876497619822,63.860897873102,33.732219950999934
full,CPA,3.75,59.96785029626794,0.7174357895806126,0.2121530304149303,0.07041118000445717,1002.074849557323,0.6606380547639674,63.81960600741864,36.1434887559999
full,CPA,4,59.9660301879619,0.7173687513443646,0.2122200683400478,0.07041118031558713,1002.07498562798,0.6563891122072968,63.78012199415452,38.52162096200027
full,CPA,4.25,59.96423074223518,0.7173027514836112,0.2122860674232567,0.07041118109313102,1002.075122408405,0.6523926494492154,63.74244118741441,40.88562633800029
