step,pvi,x_m,water_saturation,oil_saturation,vapor_saturation,liquid_co2_mole_fraction,pressure_MPa,pressure_excess_kPa
50,0.5,0.0024999999999999996,0.8902226770434752,0.10977732295652476,0.0,0.16747393136550695,24.007718005087398,7.718005087397728
50,0.5,0.0075,0.8879668692318208,0.11203313076817922,0.0,0.02100024072684626,24.007627536801163,7.627536801162904
50,0.5,0.0125,0.8848727721874122,0.11512722781258777,0.0,0.005446986155041708,24.007537086707025,7.537086707024798
50,0.5,0.0175,0.8815663530071643,0.11843364699283565,0.0,0.0023309571133796323,24.007446663406867,7.44666340686706
50,0.5,0.0225,0.8782103078352116,0.12178969216478841,0.0,0.001291949557779295,24.007356274667167,7.356274667166929
50,0.5,0.027499999999999997,0.8748506411486044,0.12514935885139555,0.0,0.0008253613585444442,24.007265927788563,7.2659277885627205
50,0.5,0.032499999999999994,0.8715063015837886,0.1284936984162114,0.0,0.0005752787458273676,24.00717562973358,7.17562973358099
50,0.5,0.0375,0.8681889180468395,0.1318110819531605,0.0,0.0004250784582880316,24.007085387155318,7.085387155317591
50,0.5,0.0425,0.8649090863910674,0.13509091360893255,0.0,0.0003274846640502941,24.006995206367332,6.995206367331974
50,0.5,0.047499999999999994,0.8616791930336901,0.13832080696630988,0.0,0.00026032823610215957,24.006905093265658,6.905093265658024
50,0.5,0.0525,0.8585153384887184,0.14148466151128158,0.0,0.00021205970774553138,24.00681505320083,6.8150532008317555
50,0.5,0.0575,0.8554392671468041,0.14456073285319593,0.0,0.0001761638356499684,24.00672509078884,6.72509078884076
50,0.5,0.0625,0.8524800258305832,0.14751997416941676,0.0,0.0001487291462831415,24.006635209641008,6.635209641007833
50,0.5,0.0675,0.8496757259549731,0.1503242740450269,0.0,0.00012728707738547112,24.00654541200482,6.545412004818729
50,0.5,0.0725,0.846985934821961,0.15301406517803895,0.0,0.00011021523687097005,24.006455630406645,6.455630406644985
50,0.5,0.0775,0.8442904882775064,0.1557095117224936,0.0,9.640429414408061e-05,24.006365368708806,6.365368708806329
50,0.5,0.08249999999999999,0.8415998418292094,0.15840015817079056,0.0,8.506634867191364e-05,24.00627462709754,6.274627097539565
50,0.5,0.0875,0.8389206727118708,0.16107932728812924,0.0,7.563864485945926e-05,24.006183407741393,6.183407741392699
50,0.5,0.0925,0.8362567197443427,0.16374328025565732,0.0,6.771085872596816e-05,24.006091714103913,6.091714103913404
50,0.5,0.0975,0.8336098105960807,0.16639018940391925,0.0,6.0977729156010516e-05,24.00599955041085,5.999550410848542
50,0.5,0.1025,0.8309805711435064,0.16901942885649357,0.0,5.52081091151998e-05,24.00590692130403,5.906921304031698
50,0.5,0.1075,0.8283688677225229,0.17163113227747706,0.0,5.022425520366767e-05,24.005813831624152,5.813831624152499
50,0.5,0.11249999999999999,0.8257740773546229,0.17422592264537706,0.0,4.5887627773188233e-05,24.00572028627395,5.720286273948716
50,0.5,0.1175,0.8231952527983128,0.17680474720168715,0.0,4.208893992527876e-05,24.005626290130817,5.6262901308166136
50,0.5,0.12249999999999998,0.8206312233040078,0.17936877669599216,0.0,3.8741048483372245e-05,24.005531847989857,5.531847989857397
50,0.5,0.1275,0.8180806553741325,0.18191934462586745,0.0,3.577378904219249e-05,24.00543696452576,5.436964525760146
50,0.5,0.1325,0.8155420879939902,0.1844579120060098,0.0,3.313016700850114e-05,24.005341644266384,5.341644266383838
50,0.5,0.13749999999999998,0.8130139510099101,0.18698604899008986,0.0,3.076351003728261e-05,24.005245891573512,5.245891573512296
50,0.5,0.1425,0.8104945718789339,0.18950542812106608,0.0,2.8635312490938636e-05,24.005149710627784,5.149710627783577
50,0.5,0.1475,0.8079821739073559,0.19201782609264406,0.0,2.6713585755489333e-05,24.0050531054159,5.053105415900205
50,0.5,0.1525,0.8054748677675982,0.19452513223240175,0.0,2.4971583435864984e-05,24.004956079718646,4.956079718645867
50,0.5,0.1575,0.8029706372073765,0.1970293627926235,0.0,2.338680706647971e-05,24.00485863709877,4.858637098770657
50,0.5,0.1625,0.8004673192486069,0.19953268075139308,0.0,2.194022353504398e-05,24.004760780887835,4.760780887835381
50,0.5,0.16749999999999998,0.7979625786973137,0.20203742130268632,0.0,2.0615644285705355e-05,24.004662514171418,4.662514171418053
50,0.5,0.1725,0.7954538763725266,0.20454612362747338,0.0,1.9399229752438877e-05,24.00456383977192,4.563839771918765
50,0.5,0.1775,0.792938430056255,0.20706156994374503,0.0,1.8279091203350033e-05,24.004464760228377,4.4647602283767185
50,0.5,0.1825,0.7904131667219157,0.20958683327808425,0.0,1.7244968387345342e-05,24.0043652777725,4.365277772500065
50,0.5,0.1875,0.7878746640695622,0.2121253359304378,0.0,1.6287966833579202e-05,24.004265394300113,4.265394300112746
50,0.5,0.1925,0.7853190787312668,0.21468092126873317,0.0,1.5400343025347505e-05,24.00416511133701,4.165111337009364
50,0.5,0.19749999999999998,0.7827420576445997,0.2172579423554003,0.0,1.4575328060656005e-05,24.00406442999802,4.064429998020813
50,0.5,0.20249999999999999,0.7801386279392051,0.21986137206079492,0.0,1.3806981719943538e-05,24.003963350937852,3.9633509378518283
50,0.5,0.2075,0.7775030591158979,0.2224969408841021,0.0,1.3090070754446293e-05,24.00386187429184,3.8618742918394844
50,0.5,0.2125,0.7748286891382271,0.2251713108617729,0.0,1.2419967377228952e-05,24.003759999604412,3.759999604412201
50,0.5,0.2175,0.7721077030426877,0.22789229695731228,0.0,1.1792564698574112e-05,24.003657725742308,3.657725742307605
50,0.5,0.2225,0.7693308484173943,0.2306691515826057,0.0,1.1204205447836203e-05,24.003555050788986,3.5550507889858807
50,0.5,0.22749999999999998,0.7664870659892629,0.23351293401073714,0.0,1.0651620955376423e-05,24.00345197191557,3.45197191557034
50,0.5,0.23249999999999998,0.7635630046444797,0.23643699535552032,0.0,1.0131879218478596e-05,24.003348485222276,3.348485222275599
50,0.5,0.2375,0.7605423770476363,0.23945762295236372,0.0,9.642341361467285e-06,24.003244585542795,3.244585542795164
50,0.5,0.24250000000000002,0.757405092337362,0.24259490766263803,0.0,9.180624319797181e-06,24.003140266201516,3.1402662015160843
50,0.5,0.2475,0.7541260722262825,0.24587392777371753,0.0,8.744567387701006e-06,24.0030355187109,3.035518710898799
50,0.5,0.25249999999999995,0.7506736095696219,0.24932639043037808,0.0,8.332202704823046e-06,24.00293033239236,2.930332392359958
50,0.5,0.2575,0.7470070534195808,0.25299294658041915,0.0,7.941730729036529e-06,24.002824693899683,2.824693899682984
50,0.5,0.2625,0.7430734833681032,0.2569265166318968,0.0,7.571498844803882e-06,24.00271858661876,2.7185866187586782
50,0.5,0.26749999999999996,0.7388028329916898,0.2611971670083102,0.0,7.219979777050645e-06,24.002611989912968,2.611989912967516
50,0.5,0.2725,0.7341005703840043,0.26589942961599566,0.0,6.88575059519747e-06,24.002504878182798,2.504878182797654
50,0.5,0.27749999999999997,0.7288364250044633,0.27116357499553667,0.0,6.5674758559644076e-06,24.00239721971924,2.3972197192385636
50,0.5,0.2825,0.7228265364263501,0.2771734635736499,0.0,6.2638928251391844e-06,24.00228897537571,2.288975375709157
50,0.5,0.28750000000000003,0.7158042855998731,0.2841957144001269,0.0,5.9737921295649e-06,24.002180097221327,2.1800972213270597
50,0.5,0.2925,0.7073708574515131,0.29262914254848693,0.0,5.695995868126974e-06,24.002070527719976,2.0705277199759564
50,0.5,0.2975,0.6969080540927051,0.30309194590729494,0.0,5.429344858631654e-06,24.0019602010129,1.9602010128991765
50,0.5,0.3025,0.6834181762135751,0.31658182378642485,0.0,5.172697348799617e-06,24.00184905074679,1.8490507467916473
50,0.5,0.3075,0.6652172646900085,0.3347827353099915,0.0,4.92493279115261e-06,24.001737037109574,1.737037109574402
50,0.5,0.31249999999999994,0.6393238629815161,0.3606761370184839,0.0,4.6849863301705215e-06,24.001624230130446,1.6242301304458806
50,0.5,0.3175,0.6002289091506591,0.3997710908493409,0.0,4.451980703806533e-06,24.001511060533584,1.5110605335841854
50,0.5,0.3225,0.5376623488078842,0.4623376511921158,0.0,4.225424836449767e-06,24.001399065328368,1.3990653283677545
50,0.5,0.32749999999999996,0.4347863032917578,0.5652136967082422,0.0,4.004898592141412e-06,24.001292869403404,1.2928694034037846
50,0.5,0.3325,0.2812866769019651,0.7187133230980349,0.0,3.787180811488704e-06,24.001202991868936,1.202991868936465
50,0.5,0.33749999999999997,0.13166749841712647,0.8683325015828736,0.0,3.5599938783276123e-06,24.001139606767563,1.1396067675626398
